,filter_mode,bandwidth,err1,err5,method
0,low_pass,0,5.26941635608673,0.13671875,vanilla
1,low_pass,3,34.6478630065918,6.28963694572449,vanilla
2,low_pass,7,66.7365577697754,27.6688878059387,vanilla
3,low_pass,11,83.0554916381836,43.4346277236939,vanilla
4,low_pass,15,87.0203353881836,44.0050550460815,vanilla
5,low_pass,19,87.721736907959,45.0626148223877,vanilla
6,low_pass,23,89.3870632171631,46.7853858947754,vanilla
7,low_pass,27,88.2352939605713,48.0026424407959,vanilla
8,low_pass,31,88.5294116973877,47.8578813552856,vanilla
9,low_pass,32,88.307674407959,48.4294576644898,vanilla
10,high_pass,0,5.26941635608673,0.13671875,vanilla
11,high_pass,3,90.0275733947754,43.271484375,vanilla
12,high_pass,7,90.0178077697754,44.3118106842041,vanilla
13,high_pass,11,89.8224952697754,44.2836626052856,vanilla
14,high_pass,15,88.6661304473877,45.2360982894898,vanilla
15,high_pass,19,87.2845817565918,43.4426700592041,vanilla
16,high_pass,23,89.1779640197754,44.8598344802856,vanilla
17,high_pass,27,88.092830657959,47.7745862960815,vanilla
18,high_pass,31,87.3098575592041,48.1324678421021,vanilla
19,high_pass,32,88.3059513092041,47.8079044342041,vanilla
20,low_pass,0,13.194508266449,0.546875,gaussian
22,low_pass,3,56.5481388092041,15.8461626529694,gaussian
23,low_pass,7,68.4696689605713,26.9829962730408,gaussian
24,low_pass,11,66.5314796447754,26.287913608551,gaussian
25,low_pass,15,57.9928768157959,17.96875,gaussian
26,low_pass,19,50.5158546447754,9.06192555427551,gaussian
27,low_pass,23,39.4370403289795,4.28940715789795,gaussian
28,low_pass,27,27.9302619934082,2.12201286554337,gaussian
29,low_pass,31,22.6292509078979,1.6739430129528,gaussian
30,low_pass,32,21.5889245986938,1.4395680129528,gaussian
31,high_pass,0,13.194508266449,0.546875,gaussian
33,high_pass,3,23.8924632072449,1.65670955777168,gaussian
34,high_pass,7,23.5127527236938,1.5372242629528,gaussian
35,high_pass,11,23.4834558486938,1.5762867629528,gaussian
36,high_pass,15,23.4260109901428,1.51022518277168,gaussian
37,high_pass,19,23.1135109901428,1.47977941036224,gaussian
38,high_pass,23,21.7193243980408,1.4005055129528,gaussian
39,high_pass,27,20.8903951644897,1.37235753536224,gaussian
40,high_pass,31,20.5962775230408,1.40165441036224,gaussian
41,high_pass,32,21.9244025230408,1.41256893277168,gaussian
42,low_pass,0,8.16291360855103,0.3125,fourier
43,low_pass,3,14.649586391449,0.799632352590561,fourier
44,low_pass,7,17.7694163322449,0.869140625,fourier
45,low_pass,11,36.5958179473877,4.73345587253571,fourier
46,low_pass,15,55.8812040328979,14.4404870986938,fourier
47,low_pass,19,73.4196918487549,19.5806525230408,fourier
48,low_pass,23,76.0483684539795,21.2482766151428,fourier
49,low_pass,27,71.6567096710205,18.3949908256531,fourier
50,low_pass,31,63.3697151184082,14.9299172401428,fourier
51,low_pass,32,58.92578125,12.471852016449,fourier
52,high_pass,0,8.16291360855103,0.3125,fourier
53,high_pass,3,9.07628674507141,0.29296875,fourier
54,high_pass,7,8.63683362007141,0.25390625,fourier
55,high_pass,11,9.14579503536224,0.311351102590561,fourier
56,high_pass,15,10.2889475822449,0.545726102590561,fourier
57,high_pass,19,15.9105009078979,0.827780330181122,fourier
58,high_pass,23,32.9181985855103,3.01298253536224,fourier
59,high_pass,27,54.9132581710815,7.77630972862244,fourier
60,high_pass,31,61.7009418487549,10.7950367450714,fourier
61,high_pass,32,59.0860523223877,12.3098575115204,fourier
62,low_pass,0,11.4321001529694,0.426240807771683,adversarial training
63,low_pass,3,54.8615577697754,14.7248391151428,adversarial training
64,low_pass,7,70.8766082763672,28.4978170394897,adversarial training
65,low_pass,11,75.8984375,31.0311350822449,adversarial training
66,low_pass,15,73.5834098815918,26.9881663322449,adversarial training
67,low_pass,19,71.2902114868164,21.8979779243469,adversarial training
68,low_pass,23,67.9566864013672,18.0020679473877,adversarial training
69,low_pass,27,64.2193244934082,14.3732766151428,adversarial training
70,low_pass,31,60.654296875,11.8020450115204,adversarial training
71,low_pass,32,59.3951057434082,10.7467830657959,adversarial training
72,high_pass,0,11.4321001529694,0.426240807771683,adversarial training
73,high_pass,3,26.4585247993469,2.30124080777168,adversarial training
74,high_pass,7,29.0780100822449,2.30641083717346,adversarial training
75,high_pass,11,35.7284006118774,3.01815257072449,adversarial training
76,high_pass,15,41.1322380065918,3.62994024753571,adversarial training
77,high_pass,19,48.1077665328979,4.59788602590561,adversarial training
78,high_pass,23,58.0244714736939,6.98471965789795,adversarial training
79,high_pass,27,63.5673252105713,9.12626378536224,adversarial training
80,high_pass,31,62.5160846710205,10.1424632072449,adversarial training
81,high_pass,32,59.658203125,10.6968060493469,adversarial training
